address_full,street,house_number,postal_code,city,sale_price,ask_price,sale_date,list_date,delist_date,transport_date,days_on_market,area_m2,rooms,bedrooms,bathrooms,toilets,year_built,type,subtype,energy_label,maintenance_inside,maintenance_outside,vve_monthly_fee,has_garden,garden_type,garden_area_m2,has_balcony,has_terrace,outdoor_text,heating,hot_water,has_lift,floor,has_storage,has_parking,has_garage,garage_type,notes,source_file,lat,lng
"Victorieplein 43, 1078 PD Amsterdam",Victorieplein,43,1078PD,Amsterdam,820000.0,800000.0,,2025-02-17,2025-04-07,2025-05-19,30.0,106.0,4.0,3.0,1.0,,1931.0,Appartement,Benedenwoning,D,Goed,Goed,352.0,False,Geen tuin,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_2050 (2).rtf,52.3457377,4.9027851
"Keizersgracht 245 A, 1016 EB Amsterdam",Keizersgracht,245 A,1016EB,Amsterdam,975000.0,975000.0,,2025-10-31,,,11.0,82.0,3.0,2.0,1.0,,1625.0,Appartement,Benedenwoning,,Uitstekend,Goed,172.97,False,Geen tuin,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (1).rtf,52.371972,4.8853035
"Raamstraat 25 B, 1016 XL Amsterdam",Raamstraat,25 B,1016XL,Amsterdam,700000.0,670000.0,,2023-12-07,2024-10-24,2024-10-23,204.0,56.0,3.0,2.0,1.0,,1829.0,Appartement,Bovenwoning,A,Uitstekend,Uitstekend,,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-09112025_1401 (3).rtf,52.3662749,4.8813612
"Molenbeekstraat 12 1, 1078 XD Amsterdam",Molenbeekstraat,12 1,1078XD,Amsterdam,621100.0,550000.0,,2025-03-17,2025-04-16,2025-06-20,25.0,66.0,4.0,2.0,1.0,,1931.0,Appartement,Portiek,E,Goed,Goed,150.0,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-09112025_0825 (1).rtf,52.3439952,4.8943514
"Deurloostraat 49 1, 1078 HT Amsterdam",Deurloostraat,49 1,1078HT,Amsterdam,650000.0,625000.0,,2024-12-03,2025-02-18,2025-02-04,32.0,87.0,3.0,2.0,1.0,,1928.0,Appartement,Bovenwoning,C,Redelijk,Goed,162.87,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_2049 (1).rtf,52.3462526,4.8903932
"Prinsengracht 236 E, 1016 HE Amsterdam",Prinsengracht,236 E,1016HE,Amsterdam,1050000.0,1050000.0,,2025-08-28,,,75.0,119.0,4.0,3.0,2.0,,1765.0,Appartement,Bovenwoning,,Goed,Goed,,False,Geen tuin,,False,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (2).rtf,52.3723107,4.8825382
"Eerste Laurierdwarsstraat 17 A1, 1016 PV Amsterdam",Eerste Laurierdwarsstraat,17 A1,1016PV,Amsterdam,585000.0,585000.0,,2025-09-05,,,125.0,60.0,3.0,2.0,1.0,,1878.0,Appartement,Bovenwoning,C,Goed,Goed,120.0,False,Geen tuin,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-27102025_1753.rtf,52.3723372,4.880952
"Keizersgracht 515 P, 1017 DN Amsterdam",Keizersgracht,515 P,1017DN,Amsterdam,600000.0,600000.0,,2025-06-17,,,147.0,62.0,2.0,1.0,1.0,,1970.0,Appartement,Bovenwoning,,Goed,Goed,153.52,False,Geen tuin,,False,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (1).rtf,52.3650479,4.8887293
"Prinsengracht 303 C, 1016 GX Amsterdam",Prinsengracht,303 C,1016GX,Amsterdam,880000.0,880000.0,,2025-10-15,,,27.0,90.0,3.0,2.0,1.0,,1720.0,Appartement,Bovenwoning,,Goed,Goed,339.0,False,Geen tuin,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (2).rtf,52.3733838,4.8833789
"Deurloostraat 51 2, 1078 HT Amsterdam",Deurloostraat,51 2,1078HT,Amsterdam,664000.0,585000.0,,2025-03-06,2025-04-10,2025-04-22,27.0,70.0,3.0,2.0,1.0,,1928.0,Appartement,Bovenwoning,C,Goed,Goed,126.0,False,Geen tuin,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_2049 (1).rtf,52.3462701,4.8902903
"Utrechtsedwarsstraat 34 D, 1017 WG Amsterdam",Utrechtsedwarsstraat,34 D,1017WG,Amsterdam,680000.0,600000.0,,2025-07-16,2025-10-29,2025-08-27,35.0,60.0,3.0,2.0,1.0,,1996.0,Appartement,Portiek,B,Uitstekend,Uitstekend,233.0,False,,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1606 (2).rtf,52.3611037,4.8976847
"Keizersgracht 645 B, 1017 DT Amsterdam",Keizersgracht,645 B,1017DT,Amsterdam,775000.0,775000.0,,2025-11-07,,,4.0,68.0,2.0,1.0,1.0,,1860.0,Appartement,,,Goed,Goed,285.0,False,Geen tuin,,False,True,,,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (1).rtf,52.3638069,4.8949975
"Lauriergracht 92 1, 1016 RN Amsterdam",Lauriergracht,92 1,1016RN,Amsterdam,1420000.0,1250000.0,,2025-04-14,2025-07-08,2025-10-15,43.0,169.0,5.0,4.0,2.0,2.0,1839.0,Appartement,Bovenwoning,B,Goed,Goed,54.87,False,,,False,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Realworks bestanden\Selectie-22102025_1218.rtf,52.3714655,4.8803313
"Lijnbaansgracht 84 2, 1015 GZ Amsterdam",Lijnbaansgracht,84 2,1015GZ,Amsterdam,525000.0,520000.0,,2024-11-04,2025-01-08,2025-01-07,17.0,64.0,4.0,2.0,1.0,,1870.0,Appartement,Bovenwoning,G,Goed,Goed,117.0,False,Geen tuin,,False,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Realworks bestanden\Selectie-22102025_1221.rtf,52.3756621,4.8781248
"Victorieplein 45 11, 1078 PD Amsterdam",Victorieplein,45 11,1078PD,Amsterdam,1250000.0,1150000.0,,2024-11-13,2025-02-24,2025-02-24,28.0,126.0,3.0,2.0,1.0,,1930.0,Appartement,,,Goed,Goed,402.55,False,Geen tuin,,True,True,,,,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_2050 (2).rtf,52.3459082,4.9026948
"Lauriergracht 126 3, 1016 RS Amsterdam",Lauriergracht,126 3,1016RS,Amsterdam,667126.0,615000.0,,2025-04-16,2025-06-26,2025-06-25,57.0,132.0,6.0,3.0,3.0,2.0,1939.0,Appartement,Bovenwoning,G,Matig,Redelijk,,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Realworks bestanden\Selectie-22102025_1218.rtf,52.3709911,4.8786038
"Prinsengracht 334 2, 1016 HZ Amsterdam",Prinsengracht,334 2,1016HZ,Amsterdam,495000.0,495000.0,,2025-09-04,,,68.0,53.0,3.0,2.0,1.0,,1750.0,Appartement,Bovenwoning,C,Goed,Goed,,False,Geen tuin,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (2).rtf,52.3686062,4.8821993
"Nieuwe Spiegelstraat 29 1, 1017 DB Amsterdam",Nieuwe Spiegelstraat,29 1,1017DB,Amsterdam,1495000.0,1495000.0,,2025-09-10,,,133.0,182.0,5.0,4.0,1.0,,1726.0,Appartement,Bovenwoning,E,Goed,Goed,,False,Geen tuin,,False,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552.rtf,52.3638161,4.8891672
"Keizersgracht 768 A, 1017 EB Amsterdam",Keizersgracht,768 A,1017EB,Amsterdam,1100000.0,1100000.0,,2025-10-28,,,14.0,119.0,3.0,2.0,2.0,2.0,1880.0,Appartement,Bovenwoning,,Goed,Goed,220.0,False,,,False,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (1).rtf,52.3636182,4.898719
"Keizersgracht 403 3, 1016 EK Amsterdam",Keizersgracht,403 3,1016EK,Amsterdam,1785000.0,1785000.0,,2025-10-10,,,32.0,149.0,4.0,2.0,2.0,,1669.0,Appartement,,,Goed,Goed,499.0,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (1).rtf,52.3675749,4.8848103
"Prinsengracht 514 A, 1017 KJ Amsterdam",Prinsengracht,514 A,1017KJ,Amsterdam,2149000.0,2149000.0,,2025-06-05,,,211.0,192.0,5.0,2.0,2.0,,1690.0,Appartement,Benedenwoning,,Goed,Goed,250.0,False,Geen tuin,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (2).rtf,52.3635809,4.8861178
