address_full,street,house_number,postal_code,city,sale_price,ask_price,sale_date,list_date,delist_date,transport_date,days_on_market,area_m2,rooms,bedrooms,bathrooms,toilets,year_built,type,subtype,energy_label,maintenance_inside,maintenance_outside,vve_monthly_fee,has_garden,garden_type,garden_area_m2,has_balcony,has_terrace,outdoor_text,heating,hot_water,has_lift,floor,has_storage,has_parking,has_garage,garage_type,notes,source_file,lat,lng
"Eerste Tuindwarsstraat 14 3, 1015 RV Amsterdam",Eerste Tuindwarsstraat,14 3,1015RV,Amsterdam,537500.0,520000.0,,2024-09-16,2024-11-20,2024-11-25,18.0,52.0,2.0,1.0,1.0,,1879.0,Appartement,Bovenwoning,,Goed,Goed,,False,Geen tuin,,False,False,,C.V.-Ketel,,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-18102025_1511 (1).rtf,,
"Lauriergracht 92 1, 1016 RN Amsterdam",Lauriergracht,92 1,1016RN,Amsterdam,1420000.0,1250000.0,,2025-04-14,2025-07-08,2025-10-15,43.0,169.0,5.0,4.0,2.0,2.0,1839.0,Appartement,Bovenwoning,B,Goed,Goed,54.87,False,,,False,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Realworks bestanden\Selectie-22102025_1218.rtf,,
"Deurloostraat 59 H, 1078 HT Amsterdam",Deurloostraat,59 H,1078HT,Amsterdam,882000.0,900000.0,,2025-05-13,2025-11-05,2025-10-15,59.0,107.0,6.0,3.0,1.0,,1929.0,Appartement,,D,Goed,Goed,202.79,True,Achtertuin,9.0,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_2049 (1).rtf,,
"Eerste Laurierdwarsstraat 22, 1016 PZ Amsterdam",Eerste Laurierdwarsstraat,22,1016PZ,Amsterdam,2000000.0,2000000.0,,2024-12-17,2025-04-04,,109.0,118.0,,,,,1831.0,Woonhuis,,,,,,False,,,False,False,,,,False,,False,False,False,,,C:\Users\meesv\Downloads\Realworks bestanden\Selectie-22102025_1126.rtf,,
"Keizersgracht 30 A, 1015 CR Amsterdam",Keizersgracht,30 A,1015CR,Amsterdam,1495000.0,1495000.0,,2025-09-15,,,57.0,126.0,3.0,2.0,2.0,,1992.0,Appartement,Bovenwoning,A,Goed,Goed,425.95,True,Patio,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (1).rtf,,
"Keizersgracht 245 A, 1016 EB Amsterdam",Keizersgracht,245 A,1016EB,Amsterdam,975000.0,975000.0,,2025-10-31,,,11.0,82.0,3.0,2.0,1.0,,1625.0,Appartement,Benedenwoning,,Uitstekend,Goed,172.97,False,Geen tuin,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (1).rtf,,
"Keizersgracht 18 B, 1015 CP Amsterdam",Keizersgracht,18 B,1015CP,Amsterdam,1500000.0,1500000.0,,2025-09-03,,,69.0,130.0,4.0,2.0,2.0,2.0,1886.0,Appartement,,,Goed,Goed,264.0,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (1).rtf,,
"Lijnbaansgracht 84 2, 1015 GZ Amsterdam",Lijnbaansgracht,84 2,1015GZ,Amsterdam,525000.0,520000.0,,2024-11-04,2025-01-08,2025-01-07,17.0,64.0,4.0,2.0,1.0,,1870.0,Appartement,Bovenwoning,G,Goed,Goed,117.0,False,Geen tuin,,False,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Realworks bestanden\Selectie-22102025_1221.rtf,,
"Biesboschstraat 89 1, 1078 MR Amsterdam",Biesboschstraat,89 1,1078MR,Amsterdam,715000.0,699000.0,,2025-07-30,2025-11-08,2025-10-28,56.0,84.0,4.0,2.0,1.0,,1930.0,Appartement,Bovenwoning,D,Goed,Goed,280.45,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1511.rtf,,
"Oude-IJselstraat 3 H, 1078 CL Amsterdam",Oude-IJselstraat,3 H,1078CL,Amsterdam,471551.0,445000.0,,2025-07-23,2025-09-16,2025-10-14,28.0,55.0,2.0,1.0,,,1926.0,Appartement,Benedenwoning,E,Goed,Goed,230.0,False,Geen tuin,,False,False,,,,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1510 (5).rtf,,
"Elandsgracht 103 A, 1016 TS Amsterdam",Elandsgracht,103 A,1016TS,Amsterdam,945103.0,950000.0,,2024-11-14,2025-02-21,2025-02-14,57.0,113.0,4.0,3.0,1.0,,1906.0,Appartement,Benedenwoning,A,Uitstekend,Goed,282.0,True,Achtertuin,18.0,True,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Realworks bestanden\Selectie-22102025_1210.rtf,,
"Herengracht 391 C, 1016 BC Amsterdam",Herengracht,391 C,1016BC,Amsterdam,1295000.0,1295000.0,,2025-09-15,,,57.0,135.0,4.0,3.0,2.0,,1650.0,Appartement,Bovenwoning,,Redelijk,Goed,349.02,False,,,False,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (3).rtf,,
"Keizersgracht 412 C, 1016 GC Amsterdam",Keizersgracht,412 C,1016GC,Amsterdam,800000.0,800000.0,,2025-09-23,,,49.0,88.0,4.0,2.0,2.0,,1881.0,Appartement,,,Goed,Goed,180.0,False,Geen tuin,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (1).rtf,,
"Lijnbaansgracht 369 F, 1017 XB Amsterdam",Lijnbaansgracht,369 F,1017XB,Amsterdam,1450000.0,1380000.0,,2025-01-06,2025-03-24,2025-04-07,33.0,162.0,4.0,3.0,1.0,,2006.0,Appartement,,A+,Goed,Goed,235.26,False,Geen tuin,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,,,C:\Users\meesv\Downloads\Realworks bestanden\Selectie-22102025_1221.rtf,,
"Schipbeekstraat 19 2, 1078 BK Amsterdam",Schipbeekstraat,19 2,1078BK,Amsterdam,518500.0,495000.0,,2025-07-04,2025-09-04,2025-09-04,63.0,64.0,2.0,1.0,,,1924.0,Appartement,,C,Goed,Goed,47.25,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-09112025_0825.rtf,,
"Prinsengracht 102, 1015 EA Amsterdam",Prinsengracht,102,1015EA,Amsterdam,1100000.0,1100000.0,,2025-09-24,,,48.0,119.0,6.0,4.0,2.0,2.0,1630.0,Woonhuis,,,Goed,Goed,,False,,,False,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (2).rtf,,
"Laurierstraat 38 1, 1016 PN Amsterdam",Laurierstraat,38 1,1016PN,Amsterdam,518000.0,485000.0,,2025-06-23,2025-09-19,2025-09-22,57.0,43.0,2.0,1.0,1.0,,1899.0,Appartement,,B,Goed,Goed,65.0,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-09112025_1403.rtf,,
"Biesboschstraat 27, 1078 ML Amsterdam",Biesboschstraat,27,1078ML,Amsterdam,1280000.0,1000000.0,,2025-05-23,2025-06-23,2025-10-16,26.0,102.0,4.0,3.0,1.0,,1930.0,Appartement,Benedenwoning,A,Goed,Goed,150.0,True,Achtertuin,6280.0,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1511.rtf,,
"Geleenstraat 17 2, 1078 LC Amsterdam",Geleenstraat,17 2,1078LC,Amsterdam,775007.0,695000.0,,2025-09-25,2025-10-21,2026-01-06,22.0,81.0,3.0,2.0,1.0,,1944.0,Appartement,Bovenwoning,C,Goed,Goed,200.0,False,Geen tuin,,True,True,,C.V.-Ketel,,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_2051 (1).rtf,,
"Lijnbaansgracht 130 B, 1016 VV Amsterdam",Lijnbaansgracht,130 B,1016VV,Amsterdam,440000.0,425000.0,,2025-03-27,2025-08-22,2025-08-25,149.0,45.0,2.0,1.0,1.0,,1886.0,Appartement,Bovenwoning,D,Goed,Goed,148.0,False,Geen tuin,,False,False,,,,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Realworks bestanden\Selectie-22102025_1221.rtf,,
"Biesboschstraat 20 3, 1078 MS Amsterdam",Biesboschstraat,20 3,1078MS,Amsterdam,740000.0,750000.0,,2025-05-08,2025-09-02,2025-07-28,34.0,93.0,3.0,2.0,1.0,,1930.0,Appartement,Bovenwoning,B,Goed,Goed,148.0,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1511.rtf,,
